density,buffer_nm,arm,runs,flight_hours,los,los_per_hour,closest_min_nm,closest_p5_nm,miles,miles_vs_fixed_pct,errors_injected,errors_caught,plan_conflicts,seconds
1.0,1.0,fixed,4,47.328,30,0.6339,0.01,0.16,5073.3,0.0,0,0,0,16.5
1.0,1.0,tower_off,4,44.034,0,0.0,7.32,9.5,4723.0,-6.9,2,0,0,16.5
1.0,1.0,tower_on,4,44.056,0,0.0,7.27,9.61,4722.6,-6.91,3,3,0,16.5
1.5,1.0,fixed,4,70.843,65,0.9175,0.02,0.16,7653.8,0.0,0,0,0,21.0
1.5,1.0,tower_off,4,65.698,0,0.0,7.38,10.94,7102.7,-7.2,4,0,0,21.0
1.5,1.0,tower_on,4,66.138,0,0.0,7.12,10.53,7148.5,-6.6,4,4,0,21.0
2.0,1.0,fixed,4,94.189,119,1.2634,0.01,0.15,10137.5,0.0,0,0,0,46.2
2.0,1.0,tower_off,4,87.488,1,0.0114,0.4,10.77,9436.9,-6.91,8,0,0,46.2
2.0,1.0,tower_on,4,87.623,0,0.0,7.08,10.43,9450.6,-6.78,8,8,0,46.2
2.5,1.0,fixed,4,119.937,192,1.6008,0.02,0.14,12901.1,0.0,0,0,0,41.4
2.5,1.0,tower_off,4,110.124,1,0.0091,0.21,11.12,11860.5,-8.07,11,0,0,41.4
2.5,1.0,tower_on,4,111.172,0,0.0,6.93,10.77,11971.3,-7.21,12,12,0,41.4
1.0,3.0,fixed,4,47.328,30,0.6339,0.01,0.16,5073.3,0.0,0,0,0,11.1
1.0,3.0,tower_off,4,43.676,0,0.0,9.16,10.77,4687.4,-7.61,4,0,0,11.1
1.0,3.0,tower_on,4,44.133,0,0.0,8.86,10.7,4736.1,-6.65,4,4,0,11.1
1.5,3.0,fixed,4,70.843,65,0.9175,0.02,0.16,7653.8,0.0,0,0,0,22.2
1.5,3.0,tower_off,4,65.812,0,0.0,5.99,13.12,7113.5,-7.06,5,0,0,22.2
1.5,3.0,tower_on,4,66.206,0,0.0,8.79,12.87,7153.1,-6.54,5,5,0,22.2
2.0,3.0,fixed,4,94.189,119,1.2634,0.01,0.15,10137.5,0.0,0,0,0,23.5
2.0,3.0,tower_off,4,87.28,4,0.0458,0.5,12.69,9408.3,-7.19,9,0,0,23.5
2.0,3.0,tower_on,4,88.026,1,0.0114,0.53,12.89,9493.1,-6.36,9,9,0,23.5
2.5,3.0,fixed,4,119.937,192,1.6008,0.02,0.14,12901.1,0.0,0,0,0,37.5
2.5,3.0,tower_off,4,110.764,0,0.0,8.66,12.61,11932.3,-7.51,7,0,0,37.5
2.5,3.0,tower_on,4,111.158,1,0.009,2.5,12.51,11966.9,-7.24,6,6,0,37.5
